 metascore,name,console,userscore,date
97,Grand Theft Auto V,PS3,8.3,"Sep 17, 2013"
95,The Last of Us,PS3,9.2,"Jun 14, 2013"
94,BioShock Infinite,PS3,8.5,"Mar 26, 2013"
94,BioShock Infinite,PC,8.6,"Mar 25, 2013"
91,Fez,PC,6.7,"May 1, 2013"
91,Rayman Legends,PS3,8.7,"Sep 3, 2013"
91,flower,PS4,7.2,"Nov 15, 2013"
90,Spelunky,PC,7.3,"Aug 8, 2013"
90,Brothers: A Tale of Two Sons,PC,8.6,"Sep 3, 2013"
90,Dota 2,PC,6.5,"Jul 9, 2013"
89,Rocksmith 2014 Edition,PC,7.9,"Oct 22, 2013"
88,Spelunky,VITA,7.9,"Aug 27, 2013"
88,Crusader Kings II: The Old Gods,PC,8.7,"May 28, 2013"
88,Assassin's Creed IV: Black Flag,PS3,8.2,"Oct 29, 2013"
88,The Stanley Parable,PC,8,"Oct 17, 2013"
88,Guacamelee! Gold Edition,PC,7.3,"Aug 8, 2013"
87,Guacamelee!,VITA,8.3,"Apr 9, 2013"
87,The Swapper,PC,8.7,"May 30, 2013"
87,Tomb Raider,PS3,8.4,"Mar 5, 2013"
87,Rayman Legends,VITA,8.4,"Sep 3, 2013"
87,Tearaway,VITA,8.9,"Nov 22, 2013"
87,MLB 13: The Show,PS3,7.9,"Mar 5, 2013"
87,FIFA 14,PS4,6.3,"Nov 12, 2013"
87,Hotline Miami,PS3,8.3,"Jun 25, 2013"
87,Europa Universalis IV,PC,8.8,"Aug 13, 2013"
87,Velocity Ultra,VITA,7.9,"Jul 2, 2013"
86,Gone Home,PC,5.4,"Aug 15, 2013"
86,Pac-Man Championship Edition DX +,PC,7.5,"Sep 24, 2013"
86,Out of the Park Baseball 14,PC,8.2,"Apr 15, 2013"
86,Saints Row IV,PC,7.4,"Aug 19, 2013"
86,Starcraft II: Heart of the Swarm,PC,7.9,"Mar 12, 2013"
86,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PS3,8,"Mar 5, 2013"
86,Tomb Raider,PC,8.5,"Mar 4, 2013"
